stock_symbol,timestamp,open,high,low,close,volume
MSFT,2024-05-30 06:20:00,425.61,425.64,425.59,425.61,1024
MSFT,2024-05-30 06:19:00,425.69,425.69,425.69,425.69,11
MSFT,2024-05-30 06:18:00,425.73,425.73,425.7,425.7,27
MSFT,2024-05-30 06:16:00,425.74,425.74,425.74,425.74,2
MSFT,2024-05-30 06:15:00,425.63,425.63,425.63,425.63,3
MSFT,2024-05-30 06:14:00,425.74,425.74,425.74,425.74,10
MSFT,2024-05-30 06:13:00,425.61,425.8,425.61,425.63,106
MSFT,2024-05-30 06:12:00,425.61,425.63,425.61,425.61,5
MSFT,2024-05-30 06:11:00,425.63,425.63,425.63,425.63,5
MSFT,2024-05-30 06:10:00,425.82,425.83,425.64,425.64,505
MSFT,2024-05-30 06:09:00,425.9,425.9,425.83,425.83,4
MSFT,2024-05-30 06:08:00,425.93,425.93,425.83,425.9,13
MSFT,2024-05-30 06:07:00,425.95,425.95,425.85,425.86,34
MSFT,2024-05-30 06:06:00,425.95,425.96,425.95,425.95,23
MSFT,2024-05-30 06:05:00,425.94,425.94,425.9,425.9,2
MSFT,2024-05-30 06:04:00,425.94,425.96,425.9,425.95,54
MSFT,2024-05-30 06:01:00,425.94,425.94,425.94,425.94,3
MSFT,2024-05-30 06:00:00,425.94,425.94,425.9,425.9,12
MSFT,2024-05-30 05:59:00,425.95,425.95,425.92,425.94,478
MSFT,2024-05-30 05:58:00,425.95,425.99,425.95,425.95,8
MSFT,2024-05-30 05:57:00,425.91,425.95,425.91,425.95,34
MSFT,2024-05-30 05:56:00,425.91,425.91,425.91,425.91,3
MSFT,2024-05-30 05:55:00,425.91,425.91,425.91,425.91,2
MSFT,2024-05-30 05:54:00,425.91,425.91,425.88,425.88,51
MSFT,2024-05-30 05:53:00,425.89,425.96,425.89,425.9,89
MSFT,2024-05-30 05:52:00,425.82,425.88,425.82,425.88,164
MSFT,2024-05-30 05:51:00,425.8,425.8,425.8,425.8,68
MSFT,2024-05-30 05:50:00,425.8,425.8,425.79,425.79,11
MSFT,2024-05-30 05:49:00,425.82,425.82,425.78,425.78,15
MSFT,2024-05-30 05:48:00,425.83,425.83,425.83,425.83,2
MSFT,2024-05-30 05:47:00,425.85,425.85,425.83,425.83,219
MSFT,2024-05-30 05:46:00,425.84,425.84,425.83,425.84,72
MSFT,2024-05-30 05:45:00,425.84,425.84,425.84,425.84,1
MSFT,2024-05-30 05:44:00,425.85,425.85,425.85,425.85,180
MSFT,2024-05-30 05:43:00,425.8,425.8,425.78,425.78,9
MSFT,2024-05-30 05:42:00,425.73,425.73,425.73,425.73,1
MSFT,2024-05-30 05:41:00,425.73,425.73,425.73,425.73,5
MSFT,2024-05-30 05:39:00,425.89,425.89,425.82,425.88,75
MSFT,2024-05-30 05:38:00,425.89,425.89,425.76,425.76,5
MSFT,2024-05-30 05:37:00,425.75,425.75,425.73,425.73,2
MSFT,2024-05-30 05:36:00,425.75,425.89,425.75,425.89,16
MSFT,2024-05-30 05:35:00,425.8,425.88,425.75,425.75,5
MSFT,2024-05-30 05:33:00,425.8,425.8,425.74,425.74,24
MSFT,2024-05-30 05:32:00,425.8,425.8,425.8,425.8,1
MSFT,2024-05-30 05:30:00,425.73,425.8,425.73,425.73,10
MSFT,2024-05-30 05:29:00,425.72,425.72,425.72,425.72,1
MSFT,2024-05-30 05:28:00,425.73,425.78,425.68,425.78,125
MSFT,2024-05-30 05:27:00,425.84,425.84,425.73,425.73,36
